area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
027063005,ROI small area,Meath and Kildare,027063005,17,13,9,51,12,1,12,0,4,1,1,2,2,6
087048001,ROI small area,Meath and Kildare,087048001,23,20,5,21,8,0,19,1,6,0,2,2,0,2
167030013,ROI small area,Meath and Kildare,167030013,11,19,0,32,5,0,9,3,5,0,1,1,0,4
167030010,ROI small area,Meath and Kildare,167030010,24,9,2,54,5,1,11,2,5,0,2,0,0,1
167065062,ROI small area,Meath and Kildare,167065062,26,23,4,38,1,0,7,1,3,0,0,0,2,1
117035005,ROI small area,"Kilmore, Elphin and Ardagh",117035005,19,15,1,21,4,0,11,1,1,0,0,0,0,4
117035007,ROI small area,"Kilmore, Elphin and Ardagh",117035007,26,13,1,16,2,0,4,1,3,0,0,1,2,0
117035003,ROI small area,"Kilmore, Elphin and Ardagh",117035003,20,6,4,6,2,0,7,0,1,0,2,0,2,2
167046003,ROI small area,Meath and Kildare,167046003,13,8,0,35,12,5,12,0,3,2,4,3,1,1
167065030,ROI small area,Meath and Kildare,167065030,28,4,3,26,12,3,31,0,7,0,4,5,2,3
147002008,ROI small area,Meath and Kildare,147002008,31,12,7,21,7,2,18,0,1,0,2,1,6,1
167065035,ROI small area,Meath and Kildare,167065035,31,22,3,26,7,2,8,0,0,0,2,1,2,2
027025017,ROI small area,"Kilmore, Elphin and Ardagh",027025017,45,19,10,17,5,0,4,3,0,2,3,2,1,4
027025016,ROI small area,"Kilmore, Elphin and Ardagh",027025016,32,11,3,11,2,1,6,0,0,1,0,1,1,6
027063007,ROI small area,Meath and Kildare,027063007,23,18,7,46,4,2,6,0,5,0,0,2,8,7
167065028,ROI small area,Meath and Kildare,167065028,27,14,1,16,1,1,14,1,0,1,6,1,6,1
237079011,ROI small area,Meath and Kildare,237079011,15,11,4,29,10,3,7,0,6,1,1,0,0,11
237079008,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237079005,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027025012,ROI small area,"Kilmore, Elphin and Ardagh",027025012,50,5,1,4,6,1,11,1,1,0,0,1,1,0
237106019,ROI small area,Meath and Kildare,237106019,35,12,4,20,4,1,11,3,1,1,0,0,4,2
237069007,ROI small area,Meath and Kildare,237069007,33,16,5,27,9,1,22,0,1,1,5,2,2,3
237064001,ROI small area,Meath and Kildare,237064001,27,20,0,32,13,2,17,2,4,0,4,2,2,3
027024002,ROI small area,"Kilmore, Elphin and Ardagh",027024002,31,12,6,60,4,0,7,1,5,0,1,1,4,1
027024006,ROI small area,"Kilmore, Elphin and Ardagh",027024006,15,8,0,33,13,1,8,1,3,0,2,0,0,7
137045008,ROI small area,"Kilmore, Elphin and Ardagh",137045008,29,36,5,16,1,2,9,2,1,1,2,1,4,1
197022007,ROI small area,"Tuam, Limerick and Killaloe",197022007,28,5,1,6,2,1,3,0,1,0,1,0,0,6
197022001/197022006,ROI small area,"Tuam, Limerick and Killaloe",197022001/197022006,46,17,3,22,2,2,10,1,1,0,0,1,1,4
137045011,ROI small area,"Kilmore, Elphin and Ardagh",137045011,19,20,1,22,3,2,7,0,4,0,0,2,0,3
197021002,ROI small area,"Tuam, Limerick and Killaloe",197021002,28,24,1,16,1,0,6,0,0,0,0,0,2,0
027004014,ROI small area,"Kilmore, Elphin and Ardagh",027004014,20,3,1,16,9,1,12,0,1,0,4,0,0,4
027073007,ROI small area,"Kilmore, Elphin and Ardagh",027073007,15,11,8,34,9,1,9,1,1,0,3,4,0,0
027063003,ROI small area,Meath and Kildare,027063003,33,11,5,39,6,2,11,3,2,0,1,1,1,4
067211007,ROI small area,"Tuam, Limerick and Killaloe",067211007,12,5,2,28,3,1,13,2,1,1,1,0,2,5
067212019,ROI small area,"Tuam, Limerick and Killaloe",067212019,53,17,9,4,4,0,9,1,1,1,1,1,1,8
157051008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197032006,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197032013,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157048023,ROI small area,"Tuam, Limerick and Killaloe",157048023,29,3,4,7,4,1,14,1,0,0,0,1,3,7
157048025,ROI small area,"Tuam, Limerick and Killaloe",157048025,42,18,5,18,5,3,12,0,0,0,1,1,0,1
157048004,ROI small area,"Tuam, Limerick and Killaloe",157048004,21,6,4,26,5,2,21,0,0,0,1,1,0,0
157150006,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157108003,ROI small area,"Tuam, Limerick and Killaloe",157108003,31,9,2,15,3,0,10,0,1,1,1,0,1,4
137029009,ROI small area,"Kilmore, Elphin and Ardagh",137029009,14,8,2,27,8,1,7,0,6,0,2,1,1,9
197052003,ROI small area,"Kilmore, Elphin and Ardagh",197052003,15,13,4,17,1,0,4,1,1,0,1,0,2,2
157141004,ROI small area,"Tuam, Limerick and Killaloe",157141004,23,16,1,23,4,0,4,0,1,0,0,0,2,1
157148008,ROI small area,"Tuam, Limerick and Killaloe",157148008,37,10,2,11,3,0,14,2,0,0,0,0,1,4
197097016,ROI small area,"Kilmore, Elphin and Ardagh",197097016,38,21,3,54,4,0,8,4,4,0,2,0,2,1
197062002,ROI small area,"Kilmore, Elphin and Ardagh",197062002,34,15,6,29,9,2,9,2,1,0,1,0,1,0
157144012/157144014,ROI small area,"Tuam, Limerick and Killaloe",157144012/157144014,50,13,4,12,0,2,14,2,1,1,0,3,1,0
157154009,ROI small area,"Tuam, Limerick and Killaloe",157154009,32,20,3,30,0,1,7,0,3,0,1,0,1,1
157049011,ROI small area,"Tuam, Limerick and Killaloe",157049011,39,15,6,29,9,1,18,2,3,0,0,1,1,3
157049012,ROI small area,"Tuam, Limerick and Killaloe",157049012,35,13,8,20,4,3,8,1,1,0,1,2,4,5
157066005,ROI small area,"Tuam, Limerick and Killaloe",157066005,30,11,4,21,0,1,5,0,0,0,1,0,1,3
197011003,ROI small area,"Tuam, Limerick and Killaloe",197011003,31,19,5,21,6,1,14,3,1,0,2,1,1,2
197011004,ROI small area,"Tuam, Limerick and Killaloe",197011004,15,8,2,23,6,0,11,1,2,0,2,0,3,3
157088004,ROI small area,"Tuam, Limerick and Killaloe",157088004,49,9,5,28,4,0,6,1,1,0,0,1,1,1
207077008,ROI small area,"Tuam, Limerick and Killaloe",207077008,32,24,4,31,7,2,13,3,1,1,2,1,2,3
027024017,ROI small area,"Kilmore, Elphin and Ardagh",027024017,29,7,4,33,4,1,7,1,2,0,1,2,3,5
167091004,ROI small area,Meath and Kildare,167091004,33,8,3,12,0,4,8,2,0,1,2,2,2,4
167090016,ROI small area,Meath and Kildare,167090016,22,19,17,81,7,1,9,1,6,0,4,0,2,4
157144007,ROI small area,"Tuam, Limerick and Killaloe",157144007,34,15,0,24,0,1,14,0,1,0,1,1,2,2
157144008,ROI small area,"Tuam, Limerick and Killaloe",157144008,42,20,2,11,3,3,7,0,4,0,1,1,3,0
157154003,ROI small area,"Tuam, Limerick and Killaloe",157154003,40,6,5,8,3,2,5,0,0,0,1,1,2,5
167090023,ROI small area,Meath and Kildare,167090023,18,13,2,27,1,0,5,1,1,0,0,0,1,0
167090024,ROI small area,Meath and Kildare,167090024,18,25,0,43,3,0,8,1,4,1,2,3,1,2
167006009,ROI small area,Meath and Kildare,167006009,36,27,11,42,5,0,8,3,1,0,2,3,1,6
167006007,ROI small area,Meath and Kildare,167006007,13,12,4,34,13,3,19,2,2,0,0,2,2,0
167090015,ROI small area,Meath and Kildare,167090015,18,14,5,43,16,1,15,0,4,0,0,2,3,4
167090010,ROI small area,Meath and Kildare,167090010,13,13,2,37,9,0,13,3,5,0,5,0,2,2
197022004,ROI small area,"Tuam, Limerick and Killaloe",197022004,16,10,3,15,5,1,3,0,0,0,0,1,0,3
117015020,ROI small area,"Kilmore, Elphin and Ardagh",117015020,19,4,6,21,4,1,8,0,2,0,0,1,4,2
167090009,ROI small area,Meath and Kildare,167090009,18,16,1,64,2,1,10,0,1,0,4,2,2,4
167090008,ROI small area,Meath and Kildare,167090008,26,20,4,14,2,3,8,1,1,0,1,3,7,0
167006003,ROI small area,Meath and Kildare,167006003,39,11,7,20,4,4,11,2,2,0,1,6,3,3
117015010/117015017,ROI small area,"Kilmore, Elphin and Ardagh",117015010/117015017,48,14,14,11,7,1,3,1,3,0,0,1,1,8
067211023,ROI small area,"Tuam, Limerick and Killaloe",067211023,32,18,3,15,4,2,6,1,4,0,0,0,3,0
067211010,ROI small area,"Tuam, Limerick and Killaloe",067211010,54,6,0,20,1,1,7,1,1,0,2,1,2,3
067212013,ROI small area,"Tuam, Limerick and Killaloe",067212013,42,5,0,13,1,3,7,2,2,1,0,0,0,8
157048007,ROI small area,"Tuam, Limerick and Killaloe",157048007,39,17,3,31,9,1,14,0,1,0,0,0,1,2
157014007,ROI small area,"Tuam, Limerick and Killaloe",157014007,24,12,6,23,9,1,8,0,0,0,0,2,0,2
157014008,ROI small area,"Tuam, Limerick and Killaloe",157014008,26,15,3,18,6,1,6,1,1,0,0,1,1,1
197021004,ROI small area,"Tuam, Limerick and Killaloe",197021004,35,32,4,20,7,1,6,0,1,0,1,0,1,0
117059003/117059006,ROI small area,"Kilmore, Elphin and Ardagh",117059003/117059006,28,11,3,29,5,2,4,2,3,0,0,1,3,3
117059005,ROI small area,"Kilmore, Elphin and Ardagh",117059005,23,11,8,27,4,0,5,0,0,0,0,0,2,3
157066004,ROI small area,"Tuam, Limerick and Killaloe",157066004,31,20,5,19,1,1,6,0,0,0,1,0,1,0
157065003,ROI small area,"Tuam, Limerick and Killaloe",157065003,53,21,7,20,8,0,16,0,1,0,2,0,3,4
157016007,ROI small area,"Tuam, Limerick and Killaloe",157016007,22,5,0,12,2,0,9,0,1,1,0,1,3,1
157154010,ROI small area,"Tuam, Limerick and Killaloe",157154010,25,12,0,15,2,0,5,2,0,0,1,1,3,1
157048030,ROI small area,"Tuam, Limerick and Killaloe",157048030,23,15,5,50,14,2,19,3,0,1,4,1,3,5
157048021,ROI small area,"Tuam, Limerick and Killaloe",157048021,11,12,1,29,6,0,10,1,0,0,1,0,1,4
207031003,ROI small area,"Tuam, Limerick and Killaloe",207031003,27,9,7,46,10,5,5,0,2,1,1,0,1,5
157154001,ROI small area,"Tuam, Limerick and Killaloe",157154001,50,13,1,9,8,4,8,0,1,1,1,0,2,3
157016016,ROI small area,"Tuam, Limerick and Killaloe",157016016,27,21,1,19,3,4,2,0,0,1,0,0,2,0
157154004,ROI small area,"Tuam, Limerick and Killaloe",157154004,14,17,3,11,1,0,5,1,0,0,0,0,2,2
157015009,ROI small area,"Tuam, Limerick and Killaloe",157015009,16,10,9,32,3,1,5,0,1,0,0,0,0,3
167090019,ROI small area,Meath and Kildare,167090019,25,15,7,18,6,2,26,2,2,0,2,1,3,3
167066015,ROI small area,Meath and Kildare,167066015,26,12,3,3,3,1,4,2,2,0,0,1,2,2
157016013/157016014,ROI small area,"Tuam, Limerick and Killaloe",157016013/157016014,63,6,20,5,3,1,8,2,0,1,1,0,4,2
157016020,ROI small area,"Tuam, Limerick and Killaloe",157016020,42,24,4,22,5,3,8,2,0,0,3,1,5,4
207055005,ROI small area,"Tuam, Limerick and Killaloe",207055005,38,29,6,53,5,2,5,5,2,0,0,0,0,12
207030011/207030012,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167065039,ROI small area,Meath and Kildare,167065039,21,17,11,58,10,3,18,6,7,0,3,0,2,13
167065023,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167065071,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117015015,ROI small area,"Kilmore, Elphin and Ardagh",117015015,40,20,9,36,8,1,13,0,5,0,1,1,4,2
137045022,ROI small area,"Kilmore, Elphin and Ardagh",137045022,24,17,2,16,1,2,6,0,1,0,0,2,3,0
167066010,ROI small area,Meath and Kildare,167066010,43,12,8,13,7,2,12,2,1,2,2,1,0,3
167066016,ROI small area,Meath and Kildare,167066016,22,12,2,28,4,0,5,0,1,1,0,1,1,1
167066013,ROI small area,Meath and Kildare,167066013,42,17,8,12,6,1,16,1,4,1,1,2,7,9
167065046,ROI small area,Meath and Kildare,167065046,21,25,3,34,2,4,11,2,3,0,2,0,1,1
167065081,ROI small area,Meath and Kildare,167065081,13,15,3,24,3,1,7,0,1,0,2,0,2,2
067212012,ROI small area,"Tuam, Limerick and Killaloe",067212012,36,19,4,17,1,1,10,0,2,1,4,0,5,2
067100001,ROI small area,"Tuam, Limerick and Killaloe",067100001,37,7,3,26,6,1,11,1,0,0,2,0,2,2
157025014,ROI small area,"Tuam, Limerick and Killaloe",157025014,24,10,0,14,0,2,8,0,0,0,0,0,1,2
157025012,ROI small area,"Tuam, Limerick and Killaloe",157025012,22,5,1,25,1,0,8,3,4,0,4,5,5,16
157025013,ROI small area,"Tuam, Limerick and Killaloe",157025013,25,5,3,12,0,1,4,0,2,0,2,0,2,5
157049002,ROI small area,"Tuam, Limerick and Killaloe",157049002,20,9,2,10,2,0,4,0,0,0,0,0,2,8
157049005,ROI small area,"Tuam, Limerick and Killaloe",157049005,24,13,1,8,1,3,3,0,1,0,0,0,1,2
157049001,ROI small area,"Tuam, Limerick and Killaloe",157049001,45,2,9,6,0,1,5,2,0,0,0,0,2,10
117035008,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137053004,ROI small area,"Kilmore, Elphin and Ardagh",137053004,63,14,4,21,9,4,22,1,5,0,1,1,2,14
137043003,ROI small area,"Kilmore, Elphin and Ardagh",137043003,54,24,4,22,5,0,18,2,2,0,1,1,3,3
157153016,ROI small area,"Tuam, Limerick and Killaloe",157153016,40,7,2,13,2,1,9,2,0,1,1,0,1,4
207031005,ROI small area,"Tuam, Limerick and Killaloe",207031005,30,8,4,12,0,2,13,1,0,0,1,3,1,1
207030008,ROI small area,"Tuam, Limerick and Killaloe",207030008,17,7,8,32,13,0,11,1,0,0,0,0,3,1
207030007,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197103002,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137009008,ROI small area,Meath and Kildare,137009008,30,12,8,22,2,0,4,3,5,0,0,0,1,7
207012003,ROI small area,"Tuam, Limerick and Killaloe",207012003,22,18,1,11,5,1,7,1,0,1,1,0,1,1
207055001,ROI small area,"Tuam, Limerick and Killaloe",207055001,20,6,4,12,1,0,7,0,0,0,0,0,2,5
197098005,ROI small area,"Kilmore, Elphin and Ardagh",197098005,36,13,4,16,4,2,3,1,0,0,0,2,1,4
207050009,ROI small area,"Tuam, Limerick and Killaloe",207050009,28,15,11,40,10,2,12,2,2,0,1,1,1,7
167065026,ROI small area,Meath and Kildare,167065026,26,27,10,50,12,5,17,4,5,1,1,1,3,10
167065050,ROI small area,Meath and Kildare,167065050,28,10,3,26,6,2,24,1,2,0,4,2,3,2
027092010,ROI small area,Meath and Kildare,027092010,34,18,13,27,4,2,8,3,1,0,1,2,3,7
167065049,ROI small area,Meath and Kildare,167065049,34,24,8,26,2,2,9,2,3,0,0,1,6,8
167065047,ROI small area,Meath and Kildare,167065047,22,22,3,14,2,2,7,0,1,1,1,2,4,0
027092002/02,ROI small area,"Kilmore, Elphin and Ardagh",027092002/02,36,3,2,16,4,0,33,0,1,0,4,3,2,0
027004011,ROI small area,"Kilmore, Elphin and Ardagh",027004011,17,24,3,42,6,1,11,2,4,0,4,1,2,8
077089003,ROI small area,"Tuam, Limerick and Killaloe",077089003,34,4,7,14,6,1,4,0,1,0,1,0,0,4
077089002,ROI small area,"Tuam, Limerick and Killaloe",077089002,22,4,1,20,6,0,9,0,1,0,0,0,1,3
077065007,ROI small area,"Tuam, Limerick and Killaloe",077065007,22,4,0,3,2,0,1,0,0,0,0,0,0,5
077065003,ROI small area,"Tuam, Limerick and Killaloe",077065003,24,2,5,6,2,2,4,2,0,0,3,0,1,7
197098003,ROI small area,"Kilmore, Elphin and Ardagh",197098003,44,21,3,27,10,3,5,0,0,0,0,1,2,5
027012004,ROI small area,"Kilmore, Elphin and Ardagh",027012004,22,15,7,29,5,3,11,1,3,0,5,0,4,2
137044005,ROI small area,"Kilmore, Elphin and Ardagh",137044005,23,9,7,21,7,3,5,2,2,0,0,0,1,6
137045014,ROI small area,"Kilmore, Elphin and Ardagh",137045014,25,6,2,27,4,3,16,0,2,0,0,2,4,6
157025010,ROI small area,"Tuam, Limerick and Killaloe",157025010,38,17,4,49,7,1,10,2,5,2,1,2,2,7
137053003,ROI small area,"Kilmore, Elphin and Ardagh",137053003,35,8,1,12,0,0,5,0,1,0,0,0,0,6
137044002,ROI small area,"Kilmore, Elphin and Ardagh",137044002,24,27,3,37,8,1,5,2,1,0,0,2,1,2
157011010,ROI small area,"Tuam, Limerick and Killaloe",157011010,25,12,8,32,3,1,4,1,0,0,0,1,0,1
157011007,ROI small area,"Tuam, Limerick and Killaloe",157011007,24,14,1,22,1,2,2,0,1,0,0,0,1,1
157097005,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207047002/207047003,ROI small area,"Tuam, Limerick and Killaloe",207047002/207047003,33,16,3,12,0,2,7,0,1,0,0,0,1,2
207082023,ROI small area,"Tuam, Limerick and Killaloe",207082023,47,23,4,18,3,3,4,1,0,0,2,0,3,7
207055010,ROI small area,"Tuam, Limerick and Killaloe",207055010,28,11,5,34,11,0,16,0,1,0,1,0,3,7
027024010,ROI small area,"Kilmore, Elphin and Ardagh",027024010,20,14,5,36,6,2,5,2,2,0,2,1,0,4
027024021,ROI small area,"Kilmore, Elphin and Ardagh",027024021,18,6,7,32,4,1,8,2,7,0,1,1,3,6
027024022,ROI small area,"Kilmore, Elphin and Ardagh",027024022,35,22,7,35,7,1,10,0,2,1,3,3,2,4
027024009,ROI small area,"Kilmore, Elphin and Ardagh",027024009,15,16,0,45,5,0,8,0,1,0,1,0,1,1
157153019,ROI small area,"Tuam, Limerick and Killaloe",157153019,30,10,5,28,5,4,12,1,0,1,3,0,4,7
197012005,ROI small area,"Tuam, Limerick and Killaloe",197012005,16,13,3,15,2,0,9,1,4,0,0,0,3,3
197032016,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197032014,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137036005,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157049014,ROI small area,"Tuam, Limerick and Killaloe",157049014,52,15,9,9,4,1,3,1,0,2,0,0,0,12
157049013,ROI small area,"Tuam, Limerick and Killaloe",157049013,54,7,5,18,6,2,13,2,3,0,2,0,4,2
157105004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157105005,ROI small area,"Tuam, Limerick and Killaloe",157105005,26,9,3,18,3,2,9,0,0,0,0,1,1,0
157153027,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
067211019,ROI small area,"Tuam, Limerick and Killaloe",067211019,32,13,10,39,7,2,13,1,4,3,0,1,2,5
197098009,ROI small area,"Kilmore, Elphin and Ardagh",197098009,43,15,4,16,0,3,7,3,3,0,0,1,0,8
157141005,ROI small area,"Tuam, Limerick and Killaloe",157141005,32,10,3,11,2,1,8,0,0,0,1,1,2,1
137009010,ROI small area,Meath and Kildare,137009010,24,6,1,21,1,3,11,0,1,0,1,1,2,9
137043011,ROI small area,"Kilmore, Elphin and Ardagh",137043011,16,3,4,16,4,2,14,0,4,0,2,1,3,6
157144009,ROI small area,"Tuam, Limerick and Killaloe",157144009,27,10,2,6,3,1,2,1,1,0,0,0,1,0
067131001,ROI small area,"Tuam, Limerick and Killaloe",067131001,19,10,2,14,2,0,6,2,0,0,0,1,2,1
067131003,ROI small area,"Tuam, Limerick and Killaloe",067131003,20,10,3,21,2,3,8,0,1,0,0,1,2,0
197040005,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197088002,ROI small area,"Tuam, Limerick and Killaloe",197088002,41,18,10,15,8,0,13,0,0,0,1,0,3,4
197011013/197011018,ROI small area,"Tuam, Limerick and Killaloe",197011013/197011018,44,9,5,22,6,2,5,1,2,0,2,1,2,3
207071019,ROI small area,"Tuam, Limerick and Killaloe",207071019,24,21,1,16,3,4,9,2,2,0,1,0,0,2
207071018,ROI small area,"Tuam, Limerick and Killaloe",207071018,19,37,0,42,4,1,4,0,1,0,0,1,1,1
207082015,ROI small area,"Tuam, Limerick and Killaloe",207082015,34,18,8,23,6,1,11,1,0,0,0,1,1,9
027092007,ROI small area,"Kilmore, Elphin and Ardagh",027092007,4,7,1,40,10,0,16,1,3,1,0,2,0,1
027092003,ROI small area,"Kilmore, Elphin and Ardagh",027092003,18,6,5,26,10,0,13,1,0,0,1,2,0,3
027024028,ROI small area,"Kilmore, Elphin and Ardagh",027024028,17,9,6,30,6,0,7,0,0,0,3,0,4,3
027024019,ROI small area,"Kilmore, Elphin and Ardagh",027024019,35,27,6,30,7,1,5,2,1,1,2,1,1,4
027024025,ROI small area,"Kilmore, Elphin and Ardagh",027024025,21,3,3,38,4,2,9,0,0,0,2,3,0,2
027063006,ROI small area,Meath and Kildare,027063006,28,13,4,54,11,0,9,4,2,0,2,2,2,5
027063002,ROI small area,Meath and Kildare,027063002,35,12,4,26,6,0,17,2,3,0,1,3,0,4
167027004,ROI small area,Meath and Kildare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157126004,ROI small area,"Tuam, Limerick and Killaloe",157126004,59,13,8,13,6,4,9,1,1,0,0,0,2,6
067211009,ROI small area,"Tuam, Limerick and Killaloe",067211009,18,15,2,38,9,0,11,2,1,1,2,1,1,4
077065006,ROI small area,"Tuam, Limerick and Killaloe",077065006,30,7,6,15,3,3,13,2,2,1,2,0,1,2
047239004,ROI small area,"Cork, Cloyne and Ross",047239004,28,23,1,29,7,2,8,1,3,0,1,0,2,3
047071002,ROI small area,"Cork, Cloyne and Ross",047071002,25,27,17,144,24,5,16,3,4,0,1,2,1,1
207060003,ROI small area,"Kilmore, Elphin and Ardagh",207060003,18,10,2,23,2,3,17,1,1,0,2,2,1,0
047313006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047146006,ROI small area,"Cork, Cloyne and Ross",047146006,40,15,3,23,6,4,16,0,2,0,0,0,2,1
047300003,ROI small area,"Cork, Cloyne and Ross",047300003,45,10,5,27,4,1,12,1,1,0,0,1,0,9
207038001/207038005,ROI small area,"Tuam, Limerick and Killaloe",207038001/207038005,28,17,3,16,2,2,3,1,0,0,0,0,1,3
207038006,ROI small area,"Kilmore, Elphin and Ardagh",207038006,29,16,1,41,2,3,5,2,2,1,1,0,1,0
207055014,ROI small area,"Tuam, Limerick and Killaloe",207055014,26,14,4,58,5,4,8,3,0,1,2,1,1,7
207081021,ROI small area,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207081015,ROI small area,"Kilmore, Elphin and Ardagh",207081015,15,4,1,11,2,1,2,2,1,0,0,1,0,43
197097018,ROI small area,"Kilmore, Elphin and Ardagh",197097018,25,17,0,38,0,0,5,0,1,0,0,1,1,3
067059006,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207081007,ROI small area,"Tuam, Limerick and Killaloe",207081007,22,20,3,22,8,1,10,2,2,0,2,0,1,6
067059007,ROI small area,"Tuam, Limerick and Killaloe",067059007,57,14,2,26,5,0,12,1,2,0,0,2,0,3
157116004,ROI small area,"Tuam, Limerick and Killaloe",157116004,35,10,4,13,2,0,6,1,0,0,0,0,2,7
157074007,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157152007,ROI small area,"Tuam, Limerick and Killaloe",157152007,13,22,1,31,0,1,2,1,0,0,1,2,3,5
047096004,ROI small area,"Cork, Cloyne and Ross",047096004,15,12,3,30,2,1,12,1,2,0,1,1,1,3
047096007,ROI small area,"Cork, Cloyne and Ross",047096007,29,6,0,18,1,1,7,0,0,0,0,1,1,1
047222002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047096014,ROI small area,"Cork, Cloyne and Ross",047096014,24,9,13,13,1,1,5,2,1,0,1,0,2,8
047096017,ROI small area,"Cork, Cloyne and Ross",047096017,28,9,5,19,3,3,7,1,1,0,2,0,5,4
047222011,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157021006,ROI small area,"Tuam, Limerick and Killaloe",157021006,37,20,6,40,9,2,5,0,3,0,0,0,3,8
047294011,ROI small area,"Cork, Cloyne and Ross",047294011,44,7,2,11,1,0,4,0,0,0,0,0,1,9
047294010,ROI small area,"Cork, Cloyne and Ross",047294010,37,11,6,16,4,2,15,0,1,0,1,0,2,1
047282003,ROI small area,"Cork, Cloyne and Ross",047282003,31,11,2,8,5,0,3,0,0,0,1,0,0,5
047095006,ROI small area,"Cork, Cloyne and Ross",047095006,31,8,2,46,3,0,2,0,4,0,1,1,1,0
047096001,ROI small area,"Cork, Cloyne and Ross",047096001,26,16,3,38,5,1,26,0,2,0,2,0,1,1
197097011,ROI small area,"Kilmore, Elphin and Ardagh",197097011,13,5,3,38,1,1,12,0,1,0,3,2,3,3
197097006,ROI small area,"Kilmore, Elphin and Ardagh",197097006,28,16,2,44,10,0,8,0,5,0,3,1,0,8
207077009,ROI small area,"Tuam, Limerick and Killaloe",207077009,55,13,7,12,2,2,22,1,0,0,1,0,3,6
047294009,ROI small area,"Cork, Cloyne and Ross",047294009,43,13,0,26,12,6,23,0,2,0,3,2,3,2
197098001,ROI small area,"Kilmore, Elphin and Ardagh",197098001,11,6,1,20,10,2,10,0,1,0,1,3,0,0
197098002,ROI small area,"Kilmore, Elphin and Ardagh",197098002,23,15,3,38,4,3,7,1,4,0,0,1,3,3
067212004,ROI small area,"Tuam, Limerick and Killaloe",067212004,21,13,5,35,9,1,8,1,6,2,3,1,4,4
